judul_film,genre,tahun_rilis,sutradara
Rewel,NA,1955,Hamid Arief
Seniman desa,NA,1955,L. Inata
Ada gula ada semut,NA,1955,Hu
Berdjumpa kembali,"
Drama            ",1955,Hu
"Oh, ibuku",NA,1955,Ali Yugo
Sampai Berdjumpa Kembali,"
Drama            ",1955,Basuki Effendi
Kuala deli,"
Drama            ",1955,Nas Achnas
Lagi-lagi Krisis,"
Comedy, Drama            ",1955,Usmar Ismail
Putra solo,"
Drama            ",1955,Bambang Sudarto
Guntur,"
Drama            ",1955,Bambang Sudarto
Dharma bakti,"
Drama            ",1955,Wildan Djafar
Kunanti di borobudur,"
Drama            ",1955,Wildan Djafar
Tiga Dara,"
Comedy, Drama, Musical            ",1956,Usmar Ismail
Pegawai negeri,NA,1956,Rd. Ariffien
Kamar kosong,NA,1956,L. Inata
Pemetjahan polgami,NA,1956,Hu
Pesan terachir,"
Drama            ",1956,Bambang Sudarto
Biola,NA,1957,S. Waldy
Anakku sajang,"
Drama            ",1957,Liliek Sudjio
Sengketa,"
Comedy, Drama            ",1957,Usmar Ismail
Delapan Pendjuru Angin,"
Comedy, Drama            ",1957,Usmar Ismail
Teladan,"
Drama            ",1957,Bambang Sudarto
Pertikaian,"
Drama            ",1957,Imam Halilintar
Asrama Dara,"
Drama, Music            ",1958,Usmar Ismail
Tjambuk api,NA,1958,D. Djajakusuma
Pak prawiro,NA,1958,D. Djajakusuma
Gending sriwidjaja,"
Drama            ",1958,S. Waldy
Turang,"
Drama            ",1958,Bachtiar Siagian
Serba salah,NA,1959,L. Inata
Mutiara jang kembali,NA,1959,L. Inata
Iseng,NA,1959,Turino Junaidy
Titian serambut dibelah tudjuh,"
Drama            ",1959,Asrul Sani
Istana yang hilang,NA,1960,Wim Umboh
Dara kembar,NA,1960,Rd. Ariffien
Lahirnja gatotkatja,NA,1960,D. Djajakusuma
Mak tjomblang,"
Drama            ",1960,D. Djajakusuma
Tak terduga,NA,1960,L. Inata
Gadis manis dipinggir djalan,NA,1960,L. Inata
Gadis diseberang djalan,"
Drama            ",1960,Turino Junaidy
Teruna djenaka,NA,1960,Liliek Sudjio
Gaja remadja,"
Comedy            ",1960,Sho Bun Seng
Laruik Sandjo,"
Drama            ",1960,Usmar Ismail
Pedjuang,"
War            ",1961,Usmar Ismail
Victim of Slander,"
Crime, Drama, Romance            ",1961,Usmar Ismail
Mira,NA,1961,M. Sharieffudin
1000 langkah,NA,1961,Turino Junaidy
Kasih tak sampai,"
Drama            ",1961,Turino Junaidy
Detik-detik berbahaja,"
Drama            ",1961,Turino Junaidy
Darmawisata,"
Drama, Romance            ",1961,Turino Junaidy
"Toha, Pahlawan Bandung Selatan","
War            ",1961,Usmar Ismail
Amor dan Humor,"
Comedy, Drama            ",1961,Usmar Ismail
Badai Selatan,"
Drama, Horror            ",1962,Sofia W.D.
Akce Kalimantan,"
Action, Drama, War            ",1962,Vladimír Sís
Violetta,NA,1962,Bachtiar Siagian
Dkn 901,NA,1962,Wagimin A. Tjokrowardojo
Hadiah 2.000.000,NA,1962,Turino Junaidy
Bajangan Diwaktu Fadjar,"
Drama            ",1962,Usmar Ismail
Anak Perawan di Sarang Penjamun,"
Drama            ",1962,Usmar Ismail
Si djimat,NA,1963,Kurnaen Suhardiman
Masa topan dan badai,"
Drama            ",1963,D. Djajakusuma
Antara timur dan barat,"
Drama            ",1963,Turino Junaidy
Maut mendjelang magrib,"
Drama            ",1963,Turino Junaidy
Kartika aju,"
Drama            ",1963,Turino Junaidy
Daerah Tak Bertuan,"
War            ",1963,Alam Rengga Surawidjaja
KK 17,NA,1964,M.D. Aliff
Rima bergema,"
Drama            ",1964,D. Djajakusuma
Tauhid,"
Drama            ",1964,Asrul Sani
Pilihan Hati,"
Drama            ",1964,Asrul Sani
Anak-Anak Revolusi,"
War            ",1964,Usmar Ismail
Matjan Kemajoran,NA,1965,Wim Umboh
Minah gadis dusun,NA,1965,S. Waldy
Takkan lari gunung dikedjar,NA,1965,Rd. Ariffien
Operasi hansip 13,"
Drama            ",1965,Turino Junaidy
Madju tak gentar,"
Drama            ",1965,Turino Junaidy
Liburan Seniman,"
Drama            ",1965,Usmar Ismail
No man's land,"
Drama            ",1965,A. Suravijaya
Terpesona,NA,1966,S. Waldy
Belaian kasih,"
Drama            ",1966,Turino Junaidy
Hantjurnya petualang,"
Drama            ",1966,Turino Junaidy
Fadjar ditengah kabut,"
Drama            ",1966,Danu Umbara
Kini kau kembal,"
Drama            ",1966,Danu Umbara
Fadjar Menjingsing Dipermukaan Laut,"
Drama            ",1966,Asrul Sani
Sendja di Djakarta,NA,1967,Nico Pelamonia
Bimo kroda,NA,1967,D. Djajakusuma
Petir sepandjang malam,NA,1967,Syarifuddin
Kasih diambang maut,NA,1967,Turino Junaidy
Juda saba desa,NA,1967,Liliek Sudjio
2 X 24 djam,"
Thriller            ",1967,Danu Umbara
Jakarta-Hong Kong-Macau,"
Action, Thriller            ",1968,Turino Junaidy
Operation X,"
Action, Thriller            ",1968,Misbach Jusa Biran
Ja Mualim,"
Drama            ",1968,Usmar Ismail
Si djampang mentjari naga hitam,"
Action            ",1969,Liliek Sudjio
Orang-orang Liar,NA,1969,Turino Junaidy
"Apa Jang Kau Tjari, Palupi?","
Drama            ",1969,Asrul Sani
Big Village,"
Drama            ",1969,Usmar Ismail
The Ronggeng Dancer,"
Drama, Romance            ",1969,Alam Rengga Surawidjaja
Bernapas dalam Lumpur,"
Drama            ",1970,Turino Junaidy
Ananda,NA,1970,Usmar Ismail
Noda tak berampun,"
Drama            ",1970,Turino Junaidy
Djalang,"
Action            ",1970,Danu Umbara
The Ghostly Face,"
Action, Adventure, Crime            ",1971,Sai King Yang
Misteri di Borobudur,"
Action, Fantasy            ",1971,NA
Tuan Tanah Kedawung,"
Action, Adventure            ",1971,Liliek Sudjio
Lorong hitam,"
Drama            ",1971,Turino Junaidy
Singa Betina dari Marunda,"
Action            ",1971,Sofia W.D.
Pengantin remaja,NA,1971,Wim Umboh
Hostess Anita,NA,1971,Matnoor Tindaon
Rakit,NA,1971,Sandy Suwardi Hasan
Lewat tengah malam,NA,1971,Sjuman Djaya
Bengawan solo,"
Drama            ",1971,Bay Isbahi
Jang djatuh dikaki lelaki,NA,1971,Nico Pelamonia
Api dibukit menorah,NA,1971,D. Djajakusuma
Malin Kundang,NA,1971,D. Djajakusuma
Kekasihku ibuku,NA,1971,Turino Junaidy
Biarkan musim berganti,NA,1971,Motinggo Boesje
Biarlah aku pergi,NA,1971,Wim Umboh
Tjisadane,NA,1971,Askur Zain
Panji tengkorak,"
Action, Drama            ",1971,A. Harris
Air Mata Kekasih,"
Drama            ",1971,Liliek Sudjio
Wajah Seorang Laki-Laki,"
Drama            ",1972,Teguh Karya
Beranak dalam Kubur,"
Horror            ",1972,Awaludin
Intan Perawan Kubu,"
Adventure            ",1972,NA
Pendakar bambu kuning,"
Adventure, Fantasy            ",1972,Tutie Kirana
Si Doel Anak Betawi,"
Drama, Musical            ",1972,Sjuman Djaya
Mama,NA,1972,Wim Umboh
Bing slamet setan djalanan,NA,1972,Hasmanan
Flamboyant,"
Drama            ",1972,Sjuman Djaya
Teror tengah malam,NA,1972,Willy Wilianto
Anjing-anjing geladak,NA,1972,Nico Pelamonia
Kabut bulan madu,NA,1972,Turino Junaidy
Intan Berduri,"
Drama            ",1972,Turino Junaidy
Pengejaran ke nerak,NA,1972,Danu Umbara
Dosa siapa,"
Drama            ",1972,Susilo S.W.D.
Seribu Janji Kumenanti,"
Drama            ",1972,Iksan Lahardi
Desa di Kaki Bukit,"
Drama            ",1972,Asrul Sani
Salah Asuhan,"
Drama            ",1972,Asrul Sani
Pemburu Mayat,"
Thriller            ",1972,Kurnaen Suhardiman
Cinta Pertama,"
Romance            ",1973,Teguh Karya
Ambisi,NA,1973,Nya Abbas Akup
Si comel,NA,1973,S.A. Karim
Si Mamad,"
Comedy, Drama            ",1973,Sjuman Djaya
Napsu gila,"
Drama, Horror            ",1973,Ali Shahab
Bumi makin panas,"
Drama            ",1973,Ali Shahab
Jauh di mata,"
Drama            ",1973,Willy Wilianto
Laki-laki pilihan,"
Drama            ",1973,Nico Pelamonia
Si Manis Jembatan Ancol,"
Horror            ",1973,Turino Junaidy
Akhir Sebuah Impian,"
Drama            ",1973,Turino Junaidy
The Bloody Ring,"
Horror            ",1973,S.A. Karim
Kutukan ibu,"
Drama            ",1973,Turino Junaidy
Lagu untukmu,NA,1973,Ishak Suhaya
Hatiku dalam hatimu,"
Drama            ",1973,Frans Totok Ars
Ayah,"
Drama            ",1973,Amin Kertaraharja
Si Rano,"
Drama            ",1973,Motinggo Boesje
Cucu,"
Drama            ",1973,Des Alwi
Jembatan Merah,"
Drama            ",1973,Asrul Sani
Bulan di Atas Kuburan,"
Comedy, Drama            ",1973,Asrul Sani
Ratapan anak tiri,NA,1973,Sandy Suwardi Hasan
Atheis,"
Drama            ",1974,Sjuman Djaya
Benyamin spion 025,NA,1974,H. Tjut Djalil
Ali Baba,NA,1974,Ishak Suhaya
Bobby,NA,1974,Fritz G. Schadt
Mistery in Hongkong,"
Drama, Horror            ",1974,Iksan Lahardi
Rio anakku,NA,1974,Arifin C. Noer
Benyamin si Abunawas,NA,1974,Fritz G. Schadt
Melawan badai,NA,1974,Arifin C. Noer
Dikejar dosa,NA,1974,Lukman Hakim Nain
Kemasukan setan,"
Horror            ",1974,Lukman Hakim Nain
Drakula Mantu,"
Comedy            ",1974,Nya Abbas Akup
Putri solo,NA,1974,Fred Young
Tarsan Kota,"
Adventure, Drama            ",1974,Liliek Sudjio
Setulus hatimu,"
Drama            ",1974,Arizal
Jangan biarkan mereka lapar,"
Drama            ",1974,Chris Pattikawa
Kasih sayang,"
Drama            ",1974,Chris Pattikawa
Senyum dan tangis,NA,1974,Arizal
Mimpi sedih,"
Drama            ",1974,Willy Wilianto
